Entreprise;Prenom;Opening Dialogue;Close Discussion;Question 1;Question 2;Question 3;Question 4;Question 5;Question 6;Question 7;Question 8;Question 9;Question 10;Au revoir;Dialogue 1;Dialogue 2;Dialogue 3;Dialogue 4;Dialogue 5;Dialogue 6;Dialogue 7;Dialogue 8;Dialogue 9;Dialogue 10;Dialogue 11;Dialogue 12;Dialogue 13;Dialogue 14;Dialogue 15;Dialogue 16;Dialogue 17;Dialogue 18;Dialogue 19;Dialogue 20
Game In;Laurent Peroy Hello;Bien le bonjour jeune artiste ! Je ne t'avais pas vu arriver !;Je te conseille d'aller voir Seaven Studio, il y a plusieurs de nos amis qui trainent souvent le haut et il y a toujours quelque chose à faire avec eux;;;;;;;;;;;Je dois y aller.;Bienvenue dans le village Game In, ce village regroupe toute les entreprises vidéoludiques existant dans les Hauts de France.;Tu dois sûrement être § ! J'ai déjà entendu parlé de toi, tu es ¤ artiste très promet000010 !;Ici, tu pourras visiter un monde dans lequel figure divers représentants de l'association.;Sors et explore les environs pour y découvrir moulte de personnes hautes en couleurs !;;;;;;;;;;;;;;;;
Game In;Laurent Peroy;Comment vas-tu jeune artiste ?;Pas de soucis, on se voit plus tard.;Où sommes-nous ?;Qui êtes vous ?;Qu'est-ce que Game In ?;Que dois-je faire ?;;;;;;;Je dois y aller.;Bienvenue dans le village Game In, ce village regroupe toute les entreprises vidéoludiques existant dans les Hauts de France.;Tu dois sûrement être § ! J'ai déjà entendu parlé de toi, tu es ¤ artiste très promet000010 !;Ici, tu pourras visiter un monde dans lequel figure divers représentants de l'association.;Sors et explore les environs pour y découvrir moulte de personnes hautes en couleurs !;Les adhérents sont tous partis au ski, ils ne devraient pas tarder à revenir;Reviens dans quelques semaines pour commencer à les rencontrer;Je suis Laurent Peroy !;LE Délégué Général de Game In;Game IN est l'association regroupant l'industrie Vidéoludique des haut de France;Nous avons à vocation à animer, développer, favoriser, renforcer, représenter mais avant tout, soutenir notre écosystème.;Notre écosystème ne cesse de s'agrandir, et notre mission est d'accompagner au quotidien les petits nouveaux.;Vu qu'il n'y a plus que nous dans le village, on pourrait mettre un peu de musique;Cependant... maintenant que j'y pense… je ne sais plus où sont les radios;Peux-tu aller les récupérer ?;;;;;;
Game In;Manon Lesire;Bonjour ! Bienvenue !;On se voit plus tard !;Qui êtes-vous ?;J'ai trouvé ce téléphone chez Seaven Studio;;;;;;;;;Je dois y aller.; Manon Lesire ! Je m'occupe de la communication interne : échanges d'infos avec les adhérents et autre tâche selon nos travaux en cours…;...et externe : gestion des réseaux sociaux, création et rédaction de contenus, mise en page des sites web, organisation du planning com pour les event (comme le GCF);Oh ! Merci beaucoup ! Je ne savais plus du tout ou il était passé !;...Ah j'ai reçu un truc ! Rooohhh, encore des tweets qui parlent de phare là…;Laurent n'arrête pas de liker tout ce qui est à ce sujet, du coup je reçois les notifs a chaque fois...;Tu savais qu'il avait un coté pharologue ? C'est d'ailleurs lui qui a aiguillé Alambik Studio,;Va voir le gardien de leur phare, il t'en dira des nouvelles !;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2054;Anna;Wow ! Bonjour ? Je t'ai pas entendu rentrer ! Tu avais frappé ? ;On se voit plus tard !;Qui êtes-vous ?;*Expliquer la situation de la plaine image*;;;;;;;;;Je dois y aller.;Je suis Anna ! La flic cyborg du coin ! Je suis extrêmement calé en tout ce qui concerne technologie et IA. Et toi tu dois être § ! Un humain pur souche qui ne frappe pas aux portes !;Oui je vois de quel système d'exploitation tu parles… Pas étonnant qu'il fonctionne plus, laisse-moi quelques secondes.;…;Et voilà ! Tu n'auras qu'à la refiler à la Plaine Image, ils sauront quoi en faire.               ;De rien !;;;;;;;;;;;;;;;
2054;Clemenc;Salut ça va ? Alors comment tu trouves notre déco ? Pas mal hein ! ;Prends soin de toi ! À plus !;Qui êtes vous ?;Qu'est ce que 2054 ? ;C'est toi qui peins ? ;;;;;;;;Je dois y aller.;Je suis Agnès Vuillaume fondatrice de 2054 et créatrice de The Sundew.;Un one-woman studio qui vise à raconter des histoires mettre en lumière les personnages féminins tout en sortant des sentiers battus et des biais cognitifs.;Oui ! Je viens du milieu artistique et j'adore peindre pendant mon temps libre.;;;;;;;;;;;;;;;;;
1P2P;;;;;;;;;;;;;;Je dois y aller.;;;;;;;;;;;;;;;;;;;;
52 Entertainement;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alambik Studio;Le Gardien;Bien le bonjour moussallion !;À bientôt moussallion.;Qui êtes vous ?;Il est bien joli votre phare.;Vous avez l'air en détresse ?;J'ai retrouvez votre carte !;;;;;;;Je dois y aller.;Je suis le Gardien du phare !;Nous accueillons tous les survivants avant que la grande tempête arrive !;Merci jeune moussallion !;C'est Laurent Peroy qui m'a donné plusieurs conseils pour la construction.;Un fin connaisseur de phare, une passion assez farfelu !;Effectivement moussallion, j'ai perdu ma carte, tu pourrais m'aider à la récupérer ?;Je pense quelle doit être près de la plage, de l'autre côté du pont. Active l'interrupteur à l'étage pour libérer le passage.;Merci moussaillon !;Grâce à ton travail je pourrais correctement construire les extensions du phare pour mes réfugiés ! Je t'en suis infiniment reconnaissant !;;;;;;;;;;;
Accidental Queens;Miryam Houali;Bien le bonjour ! Un nouveau visage en ville ? Je t'ai jamais vu par ici !;N'hésite pas si tu as besoin de quoi que ce soit !;Qui êtes-vous ?;Joli couronne ! Je pourrai en avoir une comme ça ? ;;;;;;;;;Je dois y aller.;Je suis Miryam Houali ! Co-fondatrice d'Accidental Queens !;Je m'occupe principalement de la production d'assets de nos jeux et de la direction artistique !;Euh ? Non ? ;Tu peux regarder celle qui est en exposition sur l'étagère mais pas touche surtout !;Tu pourrais te rendre chez les Crafteurs, un peu à l'Ouest d'ici pour la faire réparer et nouer un contact avec eux !;;;;;;;;;;;;;;;
